"parent","level","name","lng","lat","people_count_2010","adcode"
"山西省","city","晋中市","112.736465","37.696495","3228744","140700"
"山西省","city","忻州市","112.733538","38.41769","3067503","140900"
"甘肃省","city","嘉峪关市","98.277304","39.786529","231853","620200"
"山西省","city","太原市","112.549248","37.857014","4997055","140100"
"山西省","city","大同市","113.295259","40.09031","2595041","140200"
"山西省","city","阳泉市","113.583285","37.861188","1210910","140300"
"湖北省","city","荆门市","112.204251","31.03542","2851173","420800"
"西藏自治区","city","林芝市","94.362348","29.654693","null","540400"
"四川省","city","凉山彝族自治州","102.258746","27.886762","4747214","513400"
"福建省","city","泉州市","118.589421","24.908853","8123635","350500"
"重庆市","city","重庆市市辖区","106.504962","29.533155","14894880","500100"
"黑龙江省","city","黑河市","127.499023","50.249585","1673899","231100"
"湖北省","city","宜昌市","111.290843","30.702636","4059686","420500"
"湖北省","city","仙桃市","113.453974","30.364953","1200000","429004"
"辽宁省","city","丹东市","124.383044","40.124296","2444697","210600"
"云南省","city","丽江市","100.233026","26.872108","9332569","530700"
"云南省","city","楚雄彝族自治州","101.546046","25.041988","7161399","532300"
"湖北省","city","鄂州市","114.890593","30.396536","1191276","420700"
"山东省","city","威海市","122.116394","37.509691","2804771","371000"
"安徽省","city","阜阳市","115.819729","32.896969","7630903","341200"
"湖北省","city","黄冈市","114.879365","30.447711","6162069","421100"
"河北省","city","廊坊市","116.704441","39.523927","4358839","131000"
"山西省","city","长治市","113.113556","36.191112","2569724","140400"
"甘肃省","city","兰州市","103.823557","36.058039","2712348","620100"
"山东省","city","东营市","118.66471","37.434564","2035338","370500"
"山东省","city","莱芜市","117.677736","36.214397","1298529","371200"
"广东省","city","中山市","113.382391","22.521113","3100000","442000"
"安徽省","city","芜湖市","118.376451","31.326319","2263123","340200"
"甘肃省","city","定西市","104.626294","35.579578","2698624","621100"
"甘肃省","city","天水市","105.724998","34.578529","3539218","620500"
"海南省","city","琼海市","110.466785","19.246011","483217","469002"
"福建省","city","三明市","117.635001","26.265444","2503388","350400"
"陕西省","city","西安市","108.948024","34.263161","6816285","610100"
"吉林省","city","延边朝鲜族自治州","129.513228","42.904823","2270816","222400"
"广西壮族自治区","city","来宾市","109.229772","23.733766","2099711","451300"
"安徽省","city","铜陵市","117.816576","30.929935","651657","340700"
"贵州省","city","贵阳市","106.713478","26.578343","4058115","520100"
"贵州省","city","黔南布依族苗族自治州","107.517156","26.258219","3232714","522700"
"湖北省","city","天门市","113.165862","30.653061","1400000","429006"
"贵州省","city","毕节市","105.28501","27.301693","null","520500"
"云南省","city","玉溪市","102.543907","24.350461","2960834","530400"
"辽宁省","city","沈阳市","123.429096","41.796767","7131923","210100"
"江西省","city","景德镇市","117.214664","29.29256","1587477","360200"
"海南省","city","三沙市","112.34882","16.831039","null","460300"
"福建省","city","南平市","118.178459","26.635627","2645548","350700"
"四川省","city","广安市","106.633369","30.456398","3205476","511600"
"新疆维吾尔自治区","city","乌鲁木齐市","87.617733","43.792818","2715928","650100"
"江西省","city","上饶市","117.971185","28.44442","6582990","361100"
"海南省","city","文昌市","110.753975","19.612986","537426","469005"
"辽宁省","city","大连市","121.618622","38.91459","6665881","210200"
"云南省","city","昆明市","102.712251","25.040609","7537860","530100"
"河南省","city","郑州市","113.665412","34.757975","8638373","410100"
"江西省","city","新余市","114.930835","27.810834","1138874","360500"
"江苏省","city","泰州市","119.915176","32.484882","4691468","321200"
"辽宁省","city","鞍山市","122.995632","41.110626","3647670","210300"
"江苏省","city","淮安市","119.021265","33.597506","4271650","320800"
"福建省","city","宁德市","119.527082","26.65924","2821996","350900"
"宁夏回族自治区","city","吴忠市","106.199409","37.986165","1438808","640300"
"河南省","city","商丘市","115.650497","34.437054","7322593","411400"
"四川省","city","攀枝花市","101.716007","26.580446","1787238","510400"
"内蒙古自治区","city","鄂尔多斯市","109.99029","39.817179","1940653","150600"
"四川省","city","泸州市","105.443348","28.889138","4218427","510500"
"四川省","city","德阳市","104.398651","31.127991","3628996","510600"
"四川省","city","广元市","105.829757","32.433668","2967698","510800"
"四川省","city","自贡市","104.773447","29.352765","2678899","510300"
"四川省","city","遂宁市","105.571331","30.513311","3252619","510900"
"广西壮族自治区","city","防城港市","108.345478","21.614631","866927","450600"
"四川省","city","南充市","106.082974","30.795281","6278614","511300"
"甘肃省","city","临夏回族自治州","103.212006","35.599446","2826472","622900"
"四川省","city","达州市","107.502262","31.209484","5493631","511700"
"江苏省","city","盐城市","120.139998","33.377631","7262200","320900"
"黑龙江省","city","齐齐哈尔市","123.95792","47.342081","5367003","230200"
"湖北省","city","恩施土家族苗族自治州","109.48699","30.283114","6890402","422800"
"新疆维吾尔自治区","city","伊犁哈萨克自治州","81.317946","43.92186","2662336","654000"
"广东省","city","梅州市","116.117582","24.299112","4287933","441400"
"黑龙江省","city","大兴安岭地区","124.711526","52.335262","665919","232700"
"湖北省","city","黄石市","115.077048","30.220074","2429318","420200"
"河南省","city","开封市","114.341447","34.797049","4765604","410200"
"贵州省","city","安顺市","105.932188","26.245544","2598975","520400"
"陕西省","city","铜川市","108.979608","34.916582","834437","610200"
"新疆维吾尔自治区","city","双河市","82.353656","44.840524","770886","659007"
"西藏自治区","city","拉萨市","91.132212","29.660361","1632598","540100"
"黑龙江省","city","鸡西市","130.975966","45.300046","1862165","230300"
"新疆维吾尔自治区","city","塔城地区","82.985732","46.746301","1219369","654200"
"广东省","city","深圳市","114.085947","22.547","9232781","440300"
"广东省","city","汕头市","116.708463","23.37102","5374806","440500"
"陕西省","city","咸阳市","108.705117","34.333439","5297173","610400"
"福建省","city","福州市","119.306239","26.075302","6392826","350100"
"河南省","city","平顶山市","113.307718","33.735241","5785938","410400"
"辽宁省","city","铁岭市","123.844279","42.290585","3157747","211200"
"浙江省","city","湖州市","120.102398","30.867198","2893542","330500"
"浙江省","city","衢州市","118.87263","28.941708","2122661","330800"
"浙江省","city","宁波市","121.549792","29.868388","7673449","330200"
"湖南省","city","长沙市","112.982279","28.19409","7095345","430100"
"湖南省","city","常德市","111.691347","29.040225","5714623","430700"
"湖南省","city","湘西土家族苗族自治州","109.739735","28.314296","2549558","433100"
"安徽省","city","淮北市","116.794664","33.971707","2113321","340600"
"湖北省","city","咸宁市","114.328963","29.832798","2462583","421200"
"湖南省","city","湘潭市","112.944052","27.82973","2752171","430300"
"江苏省","city","连云港市","119.178821","34.600018","4162436","320700"
"青海省","city","果洛藏族自治州","100.242143","34.4736","560121","632600"
"广东省","city","珠海市","113.553986","22.224979","1562530","440400"
"湖南省","city","益阳市","112.355042","28.570066","4307933","430900"
